tm,actual,pred,ci_low,ci_high,rolling
2025-06-14,66062,65513.42440709767,60161.033457404985,71342.00546244462,65543.03053124351
2025-06-15,68191,65493.7224267353,60140.13899139503,71323.8736931418,65838.98287444317
2025-06-16,79094,75471.86443096238,69299.67197029664,82193.78474297823,77135.91911736307
2025-06-17,76928,76251.94713566575,70013.12236151563,83046.70961477308,78405.02526282985
2025-06-18,76769,76120.72421193645,69885.93291701154,82911.74507794589,75928.29290344306
2025-06-19,80132,80128.02195974,73559.47368797705,87283.1136668393,79804.24955031724
2025-06-20,81637,77715.16634558371,71340.00852799905,84660.02744801115,77818.2653486653
2025-06-21,67111,65089.55133175349,59746.924435646855,70909.92101413102,67109.758864565
2025-06-22,63748,62510.710997946255,57377.025380637235,68103.72206551222,64039.74131803844
2025-06-23,77000,75991.22467326518,69747.3875077265,82794.01471062927,76766.81616522628
2025-06-24,77050,76323.40556250533,70049.3683478943,83159.38279026293,76472.73146494417
2025-06-25,73192,73665.8927895745,67603.73720887171,80271.65338091602,73801.15393142516
2025-06-26,74223,74882.06302637208,68714.5725151265,81603.11790997739,73858.10732250304
2025-06-27,76223,76036.52603080602,69769.56259512814,82866.4115953216,76019.8782886189
2025-06-28,71638,69034.22714631933,63340.95827237798,75239.22352415485,68821.832535463
2025-06-29,72284,69058.16201075008,63359.83532484537,75268.97309395183,70782.70594941087
2025-06-30,85599,82398.6556227788,75596.14047323365,89813.29477852468,84622.71853416064
2025-07-01,89209,84359.77207053713,77392.06747973479,91954.7878166772,86337.36944936085
2025-07-02,89069,84929.23551251071,77906.81522385906,92584.64774889847,87771.90276573114
2025-07-03,89103,85435.45595198663,78365.09107600442,93143.73317890377,87618.64077710066
2025-07-04,84920,82714.6703721029,75864.61026963564,90183.24447260746,85330.22145686211
2025-07-05,77901,73371.32606503993,67291.31451739564,80000.68845661716,74879.04226584933
2025-07-06,78705,73026.59231251347,66971.81801547723,79628.76539420833,76374.67436475605
