tm,actual,arimax_oneshot,ci_low,ci_high,sarima_oneshot,naive,snaive,arimax_rolling
2025-06-15,68191,66873.81005379242,57630.92321654204,76116.6968910428,67782.79712231497,66062,63953,66838.72213449098
2025-06-16,79094,78740.38708931327,69494.74401954123,87986.0301590853,79201.85994240222,68191,74569,76399.65975251034
2025-06-17,76928,78170.13910644597,68922.94844490808,87417.32976798387,79156.29525572163,79094,73235,78450.48164620681
2025-06-18,76769,77237.59400723674,67931.925872742,86543.26214173148,78001.6915477642,76928,70733,76127.06374843046
2025-06-19,80132,81183.51938780333,71847.5896571867,90519.44911841996,79737.7304254085,76769,73440,78682.3835345838
2025-06-20,81637,80446.82590456677,71094.49733150066,89799.15447763287,79032.67347504412,80132,73842,78697.50473181986
2025-06-21,67111,66444.97878315362,57083.702760177046,75806.2548061302,68933.0759016478,81637,66062,68913.01675092515
2025-06-22,63748,64134.553895984114,54768.35659377643,73500.7511981918,67857.8337906614,67111,68191,65546.42331696227
2025-06-23,77000,79359.87402236304,69990.94299529893,88728.80504942716,79276.89661074866,63748,79094,76515.68531484735
2025-06-24,77050,78228.2134031214,68857.74508323777,87598.68172300502,79231.33192406807,77000,76928,76131.71602153656
2025-06-25,73192,74924.65705690827,65496.40895350605,84352.90516031049,78076.72821611064,77050,76769,74082.19268615042
2025-06-26,74223,77131.86571688933,67673.70043249383,86590.03100128482,79812.76709375494,73192,80132,74113.12350598547
2025-06-27,76223,78961.14843588838,69486.76101776397,88435.53585401278,79107.71014339056,74223,81637,76621.64319665646
2025-06-28,71638,69861.37476636269,60378.12960140095,79344.61993132441,69008.11256999423,76223,67111,69018.96314109866
2025-06-29,72284,69834.57540292961,60346.45362130477,79322.69718455445,67932.87045900784,71638,63748,71427.69753882053
2025-06-30,85599,83664.50277520379,74173.66879564048,93155.3367547671,79351.9332790951,72284,77000,82876.47439419419
2025-07-01,89209,83894.50319326573,74402.141729508,93386.86465702346,79306.36859241451,85599,77050,85225.45040527981
2025-07-02,89069,83475.40187254953,73925.93207622373,93024.87166887532,78151.76488445708,89209,73192,87050.51501364005
2025-07-03,89103,85166.19167284196,75587.13611497801,94745.2472307059,79887.80376210138,89069,74223,87428.59305277078
2025-07-04,84920,84354.45359636197,74759.34586477814,93949.5613279458,79182.746811737,89103,76223,86752.66093317737
2025-07-05,77901,73774.82031939272,64170.94104270782,83378.69959607761,69083.14923834067,84920,71638,76193.22779554078
2025-07-06,78705,73442.6177155193,63833.90467973497,83051.33075130363,68007.90712735428,77901,72284,77071.10824226319
2025-07-07,93374,87138.05343423603,77526.64880808892,96749.45806038314,79426.96994744154,78705,85599,89129.46322121716
2025-07-08,95675,87921.08112728132,78308.15836645795,97534.00388810468,79381.40526076095,93374,89209,93448.69164288994
2025-07-09,92685,86763.66836009896,77094.28406197036,96433.05265822756,78226.80155280352,95675,89069,92740.46582305327
2025-07-10,90717,86761.78721389918,77063.1363573747,96460.43807042367,79962.84043044782,92685,89103,89752.80878203348
2025-07-11,87206,85634.11038869395,75919.57097422874,95348.64980315916,79257.78348008344,90717,84920,87544.17453747528
2025-07-12,77144,73836.23200759388,64113.00395894097,83559.46005624678,69158.18590668711,87206,77901,77349.66602853114
2025-07-13,71975,71315.99242988956,61587.97178394837,81044.01307583075,68082.94379570072,77144,78705,74801.10387356202
