tm,actual,arimax_v2_oneshot,arimax_v2_rolling,ci_low,ci_high
2025-10-18,61543,59988.67318872811,61710.96726326047,44331.04348779,75646.30288966623
2025-10-19,60162,58513.279410136114,60780.914476866805,42849.947272697,74176.61154757523
2025-10-20,69493,72935.11104945552,70639.96003643886,57268.62337356493,88601.5987253461
2025-10-21,70431,72855.1924652833,71211.40407366537,57186.883135324075,88523.50179524253
2025-10-22,69634,70348.16306118196,70213.47516308707,54604.66481059306,86091.66131177085
2025-10-23,69621,71504.97382977545,68994.65986079608,55721.60642345452,87288.34123609638
2025-10-24,68362,71081.27829472645,69008.41799744779,55277.55855057099,86884.99803888191
2025-10-25,60537,59930.290480811345,60281.07204264099,44115.959262495344,75744.62169912734
2025-10-26,60017,59842.333064234466,61276.456190442834,44022.31649033872,75662.34963813021
2025-10-27,70932,73471.90106914326,69725.49908020174,57648.73105366713,89295.0710846194
2025-10-28,71448,73072.0248481723,71879.77726198481,57247.02920518128,88897.02049116332
2025-10-29,70693,71272.43187701039,71541.24428736037,55372.843890301956,87172.01986371882
2025-10-30,71052,73203.62806964271,70946.29263936338,57264.45649428695,89142.79964499848
2025-10-31,68971,72371.98786519028,69921.88562883678,56412.58795163066,88331.38777874991
2025-11-01,60385,60832.24060645091,60769.90795741996,44862.278936016926,76802.2022768849
2025-11-02,60384,61117.256989218346,61459.394142814584,45141.626206482004,77092.88777195469
2025-11-03,71072,75009.97056803414,70988.09116157894,59031.188065865215,90988.75307020306
2025-11-04,70465,73278.55738032672,70987.48681825845,57297.945110111286,89259.16965054214
2025-11-05,69436,71408.050805196,70614.02239070156,55353.42609352803,87462.67551686398
2025-11-06,70055,73201.86642836007,69977.33232285581,57107.935468065574,89295.79738865457
2025-11-07,67814,72460.02192867019,69058.46313325057,56345.98280788554,88574.06104945485
2025-11-08,59993,61431.05280163974,60373.240832688876,45306.49988134013,77555.60572193934
2025-11-09,59258,59748.31335823626,59117.062038009164,43618.10676991486,75878.51994655766
2025-11-10,70285,73610.32535643184,69776.74614892897,57476.968413502516,89743.68229936117
2025-11-11,70873,73356.18739793342,71360.95512795156,57220.99638696686,89491.37840889998
2025-11-12,70050,72052.24052579544,71168.54425896051,55843.60103838596,88260.88001320491
2025-11-13,69937,73674.68031462184,70441.2263818867,57427.00405518503,89922.35657405866
2025-11-14,68713,73751.34609293127,69591.28033990807,57483.67819867471,90019.01398718783
2025-11-15,60524,62384.34773058242,60952.04178435312,46106.2123132165,78662.48314794834
2025-11-16,60424,60930.5613723237,60061.964575182836,44646.7869684749,77214.33577617249
2025-11-17,74529,75885.56416758068,72186.43516468056,59598.64043294117,92172.4879022202
2025-11-18,76163,76148.47579222091,75439.8047509484,59859.71353724291,92437.23804719892
2025-11-19,75238,74789.04991698233,75376.15966589662,58427.38790610228,91150.71192786237
2025-11-20,73692,75690.76883493003,74035.31288167764,59290.33200693318,92091.20566292688
2025-11-21,72132,75238.41505307055,72066.60494787068,58818.099623514005,91658.7304826271
2025-11-22,62085,63570.64036607892,63386.51934904,47139.90208305967,80001.37864909817
2025-11-23,61211,62577.07485153899,62047.310814181954,46140.71153488288,79013.4381681951
2025-11-24,71960,74985.84608358497,71314.98394251996,58546.334134263685,91425.35803290625
