prd,c1,c1_name,value
201006,1E,공공행정,87.5
201007,1E,공공행정,74.9
201008,1E,공공행정,65.2
201009,1E,공공행정,84.9
201010,1E,공공행정,69.5
201011,1E,공공행정,71.0
201012,1E,공공행정,109.8
201101,1E,공공행정,91.3
201102,1E,공공행정,68.8
201103,1E,공공행정,102.1
201104,1E,공공행정,76.0
201105,1E,공공행정,72.4
201106,1E,공공행정,82.7
201107,1E,공공행정,77.1
201108,1E,공공행정,66.3
201109,1E,공공행정,88.1
201110,1E,공공행정,68.6
201111,1E,공공행정,73.2
201112,1E,공공행정,107.5
201201,1E,공공행정,93.8
201202,1E,공공행정,75.7
201203,1E,공공행정,101.7
201204,1E,공공행정,75.8
201205,1E,공공행정,74.5
201206,1E,공공행정,84.5
201207,1E,공공행정,84.8
201208,1E,공공행정,68.3
201209,1E,공공행정,90.7
201210,1E,공공행정,68.7
201211,1E,공공행정,72.3
201212,1E,공공행정,110.7
201301,1E,공공행정,85.7
201302,1E,공공행정,92.7
201303,1E,공공행정,96.3
201304,1E,공공행정,84.5
201305,1E,공공행정,76.6
201306,1E,공공행정,82.6
201307,1E,공공행정,87.5
201308,1E,공공행정,70.8
201309,1E,공공행정,91.2
201310,1E,공공행정,75.0
201311,1E,공공행정,73.4
201312,1E,공공행정,111.5
201401,1E,공공행정,96.4
201402,1E,공공행정,82.8
201403,1E,공공행정,100.1
201404,1E,공공행정,83.8
201405,1E,공공행정,75.1
201406,1E,공공행정,86.3
201407,1E,공공행정,88.1
201408,1E,공공행정,76.9
201409,1E,공공행정,89.2
201410,1E,공공행정,77.9
201411,1E,공공행정,75.7
201412,1E,공공행정,115.6
201501,1E,공공행정,81.7
201502,1E,공공행정,83.5
201503,1E,공공행정,93.9
201504,1E,공공행정,88.7
201505,1E,공공행정,83.3
201506,1E,공공행정,100.0
201507,1E,공공행정,81.1
201508,1E,공공행정,80.8
201509,1E,공공행정,88.6
201510,1E,공공행정,84.4
201511,1E,공공행정,87.7
201512,1E,공공행정,114.5
201601,1E,공공행정,82.7
201602,1E,공공행정,86.3
201603,1E,공공행정,96.9
201604,1E,공공행정,87.9
201605,1E,공공행정,86.4
201606,1E,공공행정,101.9
201607,1E,공공행정,80.8
201608,1E,공공행정,82.8
201609,1E,공공행정,87.7
201610,1E,공공행정,86.8
201611,1E,공공행정,87.2
201612,1E,공공행정,115.9
201701,1E,공공행정,82.9
201702,1E,공공행정,88.0
201703,1E,공공행정,100.7
201704,1E,공공행정,87.7
201705,1E,공공행정,86.4
201706,1E,공공행정,103.3
201707,1E,공공행정,83.8
201708,1E,공공행정,83.5
201709,1E,공공행정,93.5
201710,1E,공공행정,84.5
201711,1E,공공행정,89.3
201712,1E,공공행정,119.2
201801,1E,공공행정,85.5
201802,1E,공공행정,89.0
201803,1E,공공행정,98.0
201804,1E,공공행정,91.5
201805,1E,공공행정,89.3
201806,1E,공공행정,101.7
201807,1E,공공행정,88.4
201808,1E,공공행정,86.8
201809,1E,공공행정,91.4
201810,1E,공공행정,91.1
201811,1E,공공행정,92.4
201812,1E,공공행정,120.8
201901,1E,공공행정,88.4
201902,1E,공공행정,89.9
201903,1E,공공행정,99.0
201904,1E,공공행정,95.4
201905,1E,공공행정,93.7
201906,1E,공공행정,104.2
201907,1E,공공행정,91.3
201908,1E,공공행정,90.3
201909,1E,공공행정,94.5
201910,1E,공공행정,94.7
201911,1E,공공행정,95.0
201912,1E,공공행정,129.0
202001,1E,공공행정,92.0
202002,1E,공공행정,95.0
202003,1E,공공행정,109.8
202004,1E,공공행정,95.0
202005,1E,공공행정,94.5
202006,1E,공공행정,117.3
202007,1E,공공행정,91.4
202008,1E,공공행정,91.7
202009,1E,공공행정,99.4
202010,1E,공공행정,92.5
202011,1E,공공행정,94.8
202012,1E,공공행정,126.8
202101,1E,공공행정,96.1
202102,1E,공공행정,96.9
202103,1E,공공행정,116.6
202104,1E,공공행정,98.4
202105,1E,공공행정,100.5
202106,1E,공공행정,125.2
202107,1E,공공행정,93.5
202108,1E,공공행정,94.9
202109,1E,공공행정,108.8
202110,1E,공공행정,98.7
202111,1E,공공행정,104.1
202112,1E,공공행정,145.6
202201,1E,공공행정,99.7
202202,1E,공공행정,103.5
202203,1E,공공행정,125.0
202204,1E,공공행정,110.8
202205,1E,공공행정,105.7
202206,1E,공공행정,123.5
202207,1E,공공행정,104.8
202208,1E,공공행정,100.3
202209,1E,공공행정,108.2
202210,1E,공공행정,101.3
202211,1E,공공행정,117.8
202212,1E,공공행정,163.7
202301,1E,공공행정,94.6
202302,1E,공공행정,102.4
202303,1E,공공행정,124.3
202304,1E,공공행정,97.4
202305,1E,공공행정,100.1
202306,1E,공공행정,122.0
202307,1E,공공행정,93.6
202308,1E,공공행정,95.0
202309,1E,공공행정,104.4
202310,1E,공공행정,98.0
202311,1E,공공행정,100.8
202312,1E,공공행정,137.7
202401,1E,공공행정,97.6
202402,1E,공공행정,102.0
202403,1E,공공행정,116.4
202404,1E,공공행정,101.6
202405,1E,공공행정,102.0
202406,1E,공공행정,114.5
202407,1E,공공행정,96.0
202408,1E,공공행정,96.3
202409,1E,공공행정,105.9
202410,1E,공공행정,98.6
202411,1E,공공행정,99.2
202412,1E,공공행정,130.9
202501,1E,공공행정,96.1
202502,1E,공공행정,101.7
202503,1E,공공행정,120.9
202504,1E,공공행정,100.6
202505,1E,공공행정,99.8
202506,1E,공공행정,116.3
202507,1E,공공행정,96.8
202508,1E,공공행정,95.0
202509,1E,공공행정,107.0
202510,1E,공공행정,96.1
202511,1E,공공행정,99.7
202512,1E,공공행정,131.9
